src_scion_addr,dst_scion_addr,avg_scion,mapped_src_ip,mapped_dst_ip,avg_ip
"71-20965,10.0.1.1:0","64-2:0:9,129.132.230.98:30041",12.46128657035589,10.0.1.1,129.132.230.98,12.035254127549369
"71-20965,10.0.1.1:0","71-225,127.0.0.1:30041",117.04700544981549,10.0.1.1,,
"71-20965,10.0.1.1:0","71-2:0:18,192.168.1.1:30041",175.46147677893956,10.0.1.1,137.132.22.29,173.9840847946582
"71-20965,10.0.1.1:0","71-2:0:3b,10.1.0.1:30041",255.20242006974408,10.0.1.1,134.75.254.214,253.57011859244375
"71-20965,10.0.1.1:0","71-2:0:3d,10.0.0.1:30041",173.63432565301665,10.0.1.1,134.75.254.68,328.3007679595606
"71-20965,10.0.1.1:0","71-2:0:3e,10.10.0.1:30041",12.469040243350088,10.0.1.1,134.75.253.186,32.232595077755896
"71-20965,10.0.1.1:0","71-2:0:3f,10.10.0.1:30041",97.34888530600772,10.0.1.1,134.75.254.171,98.7825819306971
"71-20965,10.0.1.1:0","71-2:0:48,127.0.0.1:30041",102.69413976086123,10.0.1.1,145.40.89.243,101.84742989518702
"71-20965,10.0.1.1:0","71-2:0:4a,141.44.25.151:30041",48.89791888708139,10.0.1.1,141.44.25.151,36.963933630109274
"71-20965,10.0.1.1:0","71-2:0:5c,127.0.0.1:30041",131.20124054793905,10.0.1.1,200.129.206.243,141.71780017201368
"71-20965,10.0.1.1:0","71-88,127.0.0.1:30041",118.90512426577936,10.0.1.1,,
"71-20965,10.0.2.1:0","64-2:0:9,129.132.230.98:30041",23.54736053967465,10.0.2.1,129.132.230.98,12.532075471698112
"71-20965,10.0.2.1:0","71-225,127.0.0.1:30041",109.97309358600675,10.0.2.1,,
"71-20965,10.0.2.1:0","71-2:0:18,192.168.1.1:30041",179.58141168657147,10.0.2.1,137.132.22.29,186.62328358208956
"71-20965,10.0.2.1:0","71-2:0:3b,10.1.0.1:30041",260.31371853744736,10.0.2.1,134.75.254.214,246.26460071513705
"71-20965,10.0.2.1:0","71-2:0:3d,10.0.0.1:30041",177.81065065456096,10.0.2.1,134.75.254.68,344.23701492537316
"71-20965,10.0.2.1:0","71-2:0:3e,10.10.0.1:30041",7.361215086765751,10.0.2.1,134.75.253.186,18.22372881355932
"71-20965,10.0.2.1:0","71-2:0:3f,10.10.0.1:30041",105.96942049710188,10.0.2.1,134.75.254.171,94.56369047619047
"71-20965,10.0.2.1:0","71-2:0:48,127.0.0.1:30041",104.80634431543864,10.0.2.1,145.40.89.243,85.78397626112758
"71-20965,10.0.2.1:0","71-2:0:4a,141.44.25.151:30041",32.49286640536284,10.0.2.1,141.44.25.151,31.95956873315364
"71-20965,10.0.2.1:0","71-2:0:5c,127.0.0.1:30041",144.56706441865765,10.0.2.1,200.129.206.243,155.05250596658712
"71-20965,10.0.2.1:0","71-88,127.0.0.1:30041",113.31845555310872,10.0.2.1,,
"71-20965,10.0.3.1:0","64-2:0:9,129.132.230.98:30041",16.288025550044804,10.0.3.1,129.132.230.98,4.052059052059052
"71-20965,10.0.3.1:0","71-225,127.0.0.1:30041",119.1976551598454,10.0.3.1,,
"71-20965,10.0.3.1:0","71-2:0:18,192.168.1.1:30041",183.16298314294897,10.0.3.1,137.132.22.29,187.0845301600328
"71-20965,10.0.3.1:0","71-2:0:3b,10.1.0.1:30041",257.8595282839101,10.0.3.1,134.75.254.214,252.88565573770487
"71-20965,10.0.3.1:0","71-2:0:3d,10.0.0.1:30041",181.39834081617076,10.0.3.1,134.75.254.68,327.2174447174447
"71-20965,10.0.3.1:0","71-2:0:3e,10.10.0.1:30041",15.726521133607495,10.0.3.1,134.75.253.186,28.55292929292929
"71-20965,10.0.3.1:0","71-2:0:3f,10.10.0.1:30041",103.5857027181063,10.0.3.1,134.75.254.171,102.38426874231872
"71-20965,10.0.3.1:0","71-2:0:48,127.0.0.1:30041",98.90537164886608,10.0.3.1,145.40.89.243,93.85714285714285
"71-20965,10.0.3.1:0","71-2:0:4a,141.44.25.151:30041",40.87279813785844,10.0.3.1,141.44.25.151,39.84018801410106
"71-20965,10.0.3.1:0","71-2:0:5c,127.0.0.1:30041",136.46868371381976,10.0.3.1,200.129.206.243,147.94913863822805
"71-20965,10.0.3.1:0","71-88,127.0.0.1:30041",121.87989789638164,10.0.3.1,,
"71-225,10.230.53.144:0","64-2:0:9,129.132.230.98:30041",129.45250364791127,,129.132.230.98,
"71-225,10.230.53.144:0","71-20965,10.0.1.1:30041",107.26721610403688,,62.40.110.132,
"71-225,10.230.53.144:0","71-20965,10.0.2.1:30041",109.03038232545762,,62.40.110.140,
