"hour","avg_rtt","prcount","src_addr"
"2025-01-20 00:00:00+00","380.0433751415568043","46801","10.0.0.1"
"2025-01-20 00:00:00+00","104.0606060606060606","33","10.0.2.1"
"2025-01-20 00:00:00+00","178.4189170410857381","43178","10.10.0.1"
"2025-01-20 00:00:00+00","149.7614314115308151","503","10.230.53.144"
"2025-01-20 00:00:00+00","212.2242261183218520","33823","127.0.0.1"
"2025-01-20 01:00:00+00","380.7544587901863674","34931","10.0.0.1"
"2025-01-20 01:00:00+00","100.7777777777777778","144","10.0.1.1"
"2025-01-20 01:00:00+00","102.4027777777777778","144","10.0.3.1"
"2025-01-20 01:00:00+00","178.2386739819894900","43197","10.10.0.1"
"2025-01-20 01:00:00+00","151.1900426478768774","53930","10.230.53.144"
"2025-01-20 01:00:00+00","208.1485798906439854","26336","127.0.0.1"
"2025-01-20 02:00:00+00","379.9139298590626024","15255","10.0.0.1"
"2025-01-20 02:00:00+00","104.0975609756097561","82","10.0.2.1"
"2025-01-20 02:00:00+00","178.2445641463574854","15223","10.10.0.1"
"2025-01-20 02:00:00+00","151.1459791828721710","53994","10.230.53.144"
"2025-01-20 02:00:00+00","205.6748355578261703","62636","127.0.0.1"
"2025-01-20 03:00:00+00","380.0051085841313269","46784","10.0.0.1"
"2025-01-20 03:00:00+00","95.8571428571428571","105","10.0.2.1"
"2025-01-20 03:00:00+00","178.2441742654508612","3948","10.10.0.1"
"2025-01-20 03:00:00+00","151.1448151807656254","39471","10.230.53.144"
"2025-01-20 03:00:00+00","207.5364342563027213","83932","127.0.0.1"
"2025-01-20 04:00:00+00","380.2746581196581197","46800","10.0.0.1"
"2025-01-20 04:00:00+00","178.2046059483856035","43205","10.10.0.1"
"2025-01-20 04:00:00+00","208.1314348585852048","77255","127.0.0.1"
"2025-01-20 05:00:00+00","380.3534412589309939","22114","10.0.0.1"
"2025-01-20 05:00:00+00","178.2179377386876519","43205","10.10.0.1"
"2025-01-20 05:00:00+00","211.6010105718494211","53633","127.0.0.1"
"2025-01-20 06:00:00+00","97.0270270270270270","74","10.0.2.1"
"2025-01-20 06:00:00+00","178.2410999490764316","43202","10.10.0.1"
"2025-01-20 06:00:00+00","212.2740472228824974","50484","127.0.0.1"
"2025-01-20 07:00:00+00","178.2410319353419328","43181","10.10.0.1"
"2025-01-20 07:00:00+00","212.3624673060156931","50468","127.0.0.1"
"2025-01-20 07:00:00+00","122.3716356107660455","966","141.44.25.151"
"2025-01-20 08:00:00+00","104.2935323383084577","402","10.0.2.1"
"2025-01-20 08:00:00+00","178.2493171612425351","43202","10.10.0.1"
"2025-01-20 08:00:00+00","208.0028966351224039","71117","127.0.0.1"
"2025-01-20 08:00:00+00","122.7196278475452712","50087","141.44.25.151"
"2025-01-20 09:00:00+00","380.1869758386581470","40064","10.0.0.1"
"2025-01-20 09:00:00+00","106.6059479553903346","538","10.0.1.1"
"2025-01-20 09:00:00+00","102.0661157024793388","242","10.0.2.1"
"2025-01-20 09:00:00+00","95.4782608695652174","46","10.0.3.1"
"2025-01-20 09:00:00+00","234.2706226716338478","7516","10.1.0.1"
"2025-01-20 09:00:00+00","174.1795590480242248","79918","10.10.0.1"
